applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability,annual_income_standardized,avg_monthly_balance_standardized,avg_monthly_spending_standardized,loan_amount_requested_log,total_outstanding_debt_log,estimated_monthly_emi_log,loan_amount_requested_normalized,total_outstanding_debt_normalized,estimated_monthly_emi_normalized,employment_type_normalized,is_salaried,is_self_employed,is_business_owner,employment_stability_score,loan_purpose_normalized,is_secured_loan,loan_risk_category,loan_risk_score,education_normalized,education_score,marital_status_normalized,is_married,residence_type_normalized,is_home_owner,gender_normalized,is_male
APP000001,2025-03-08,Male,21.0,Bachelor,Married,2.0,Rented,3.0,Chennai,Self-Employed,Manufacturing,912000.0,8.0,4.0,Home Loan,4659000.0,120.0,7.87,725.0,2.0,2.0,78.0,1.0,90.0,4.0,7.0,660600.0,49.4,0.0,0.0,58000.0,0.131,38000.0,39.2,60.8,0.0,71.9,31.0,26.9,4.0,0.0,0.724,5.109,0.173,56200.0,0.74,0.763,6.5,0,0.1861842105263158,1.407217440550335,-0.4337249087843161,0.6154209972565252,15.354311605437244,13.400905305713037,10.936689829317784,0.28939667517589196,0.10564697980137217,0.15032502708559045,SELF_EMPLOYED,0,1,0,3,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,RENTED,0,MALE,1
APP000002,2025-06-29,Female,23.0,High School,Married,3.0,Rented,1.0,Bangalore,Self-Employed,Banking/Finance,553000.0,4.0,2.0,Credit Card,147000.0,12.0,36.42,656.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,163400.0,60.7,0.0,0.0,99000.0,0.091,41000.0,33.1,66.9,4.0,88.7,29.0,26.3,0.0,1.0,0.295,0.266,0.518,14800.0,0.321,2.142,0.0,1,0.1309999999999999,0.19532412081649023,0.1732912767525092,0.7837635238373223,11.898194668458823,12.003962581340353,9.60245002503719,0.0084677168295872,0.02613187481008812,0.03819068255687974,SELF_EMPLOYED,0,1,0,3,CREDIT_CARD,0,HIGH_RISK,3,HIGH_SCHOOL,2,MARRIED,1,RENTED,0,FEMALE,0
APP000003,2025-01-28,Female,38.0,Bachelor,Married,2.0,Rented,0.0,Jaipur,Salaried,Manufacturing,613000.0,2.0,2.0,Personal Loan,1407000.0,24.0,12.86,748.0,4.0,2.0,24.0,1.0,30.0,4.0,5.0,1310400.0,92.5,1.0,0.0,116000.0,0.05,39000.0,30.4,69.6,0.0,92.9,25.0,12.7,1.0,0.0,2.138,2.295,0.888,66800.0,1.308,2.261,2.0,0,0.2246666666666667,0.39786896534025257,0.4249809146580221,0.6715351727834575,14.156971046828328,14.085843755206414,11.109473329472568,0.08691862275076273,0.20956676102288538,0.17903575297941493,SALARIED,1,0,0,5,PERSONAL_LOAN,0,MEDIUM_RISK,2,BACHELOR,3,MARRIED,1,RENTED,0,FEMALE,0
APP000004,2025-02-22,Male,23.0,Bachelor,Married,1.0,Owned,9.0,Mumbai,Salaried,IT/Software,243000.0,0.0,0.0,Education Loan,1064000.0,84.0,9.44,652.0,1.0,1.0,206.0,1.0,180.0,1.0,2.0,718400.0,78.7,0.0,0.0,14000.0,0.061,8000.0,53.6,46.4,0.0,78.0,46.0,15.7,3.0,0.0,2.956,4.379,0.527,17400.0,0.857,0.667,17.2,0,0.372,-0.8511575758896153,-1.0851569127750553,-1.0680042685514455,13.877546888732908,13.48478318795134,9.76428295481558,0.06556254280555383,0.11489069071950615,0.0452329360780065,SALARIED,1,0,0,5,EDUCATION_LOAN,0,MEDIUM_RISK,2,BACHELOR,3,MARRIED,1,OWNED,1,MALE,1
APP000005,2025-08-04,Male,46.0,Bachelor,Married,0.0,Owned,5.0,Mumbai,Freelancer,Other,251000.0,1.0,1.0,Home Loan,816000.0,300.0,8.86,806.0,3.0,1.0,41.0,0.0,0.0,0.0,1.0,884900.0,71.6,0.0,0.0,40000.0,0.127,14000.0,64.7,35.3,0.0,78.2,23.0,23.7,3.0,0.0,3.525,3.251,0.505,6800.0,0.324,1.893,3.4,0,0.0834999999999999,-0.8241515966197803,-0.7002198195078003,-0.7313192153898513,13.61217085943569,13.693231053325997,8.824824939175638,0.050121412116306586,0.14151833549233156,0.016522210184182016,FREELANCER,0,0,0,2,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,OWNED,1,MALE,1
APP000006,2025-10-17,Male,34.0,Other,Married,4.0,Mortgaged,30.0,Mumbai,Salaried,Banking/Finance,191000.0,1.0,0.0,Credit Card,22000.0,12.0,34.39,614.0,2.0,2.0,71.0,1.0,30.0,1.0,3.0,577500.0,79.6,0.0,0.0,48000.0,0.152,11000.0,44.2,55.8,0.0,76.7,26.0,6.4,0.0,0.0,3.024,0.115,0.693,2200.0,0.138,3.016,5.9,0,0.2381666666666666,-1.0266964411435426,-0.5817776369640296,-0.8996617419706484,9.99884318585288,13.266465452978318,7.696667081526462,0.0006848888612166117,0.09235714628412417,0.004062838569880824,SALARIED,1,0,0,5,CREDIT_CARD,0,HIGH_RISK,3,OTHER,1,MARRIED,1,MORTGAGED,1,MALE,1
APP000007,2025-03-05,Male,35.0,Bachelor,Married,1.0,Rented,3.0,Mumbai,Salaried,Other,506000.0,2.0,2.0,Home Loan,1859000.0,120.0,8.1,713.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,16400.0,64.7,0.0,0.0,72000.0,0.05,26000.0,65.6,34.4,0.0,84.2,29.0,13.0,1.0,0.0,0.032,3.674,0.853,22700.0,0.537,1.712,0.7,0,0.02,0.036663992606209714,-0.2264510893327172,-0.05794910906666308,14.435549804627051,9.70509758756311,10.030164255362632,0.11506132868439077,0.002622783028674695,0.05958829902491874,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,RENTED,0,MALE,1
APP000008,2025-01-19,Female,32.0,PhD,Divorced,1.0,Owned,2.0,Jaipur,Salaried,Manufacturing,462000.0,0.0,0.0,Education Loan,996000.0,120.0,9.2,699.0,6.0,2.0,5.0,2.0,90.0,2.0,5.0,647500.0,72.3,0.0,0.0,127000.0,0.171,21000.0,69.6,30.4,0.0,96.7,37.0,26.7,0.0,0.0,1.402,2.156,0.187,12700.0,0.331,3.291,0.4,0,0.3002499999999999,-0.11186889337788268,0.587838915655707,-0.3385199867013249,13.811503540582295,13.380875616956182,9.44943600950432,0.06132868439076023,0.10355195189432104,0.032502708559046585,SALARIED,1,0,0,5,EDUCATION_LOAN,0,MEDIUM_RISK,2,PHD,5,DIVORCED,0,OWNED,1,FEMALE,0
APP000009,2025-10-10,Female,42.0,Master,Single,1.0,Mortgaged,1.0,Ahmedabad,Salaried,Healthcare,483000.0,0.0,0.0,Business Loan,3300000.0,84.0,15.32,783.0,2.0,1.0,40.0,0.0,0.0,2.0,3.0,151800.0,96.5,0.0,0.0,94000.0,0.113,36000.0,60.0,40.0,1.0,78.0,30.0,19.6,2.0,1.0,0.314,6.832,0.142,64300.0,1.597,2.328,3.3,0,0.1506785714285714,-0.04097819779456585,0.09926491266265246,0.5031926462026605,15.009433329466965,11.930325731537252,11.071330462204312,0.2047817695037669,0.024276735594684067,0.17226435536294687,SALARIED,1,0,0,5,BUSINESS_LOAN,0,MEDIUM_RISK,2,MASTER,4,SINGLE,0,MORTGAGED,1,FEMALE,0
APP000010,2025-06-23,Female,42.0,Master,Single,3.0,Rented,2.0,Mumbai,Salaried,IT/Software,345000.0,14.0,3.0,Home Loan,1529000.0,300.0,7.64,680.0,1.0,1.0,82.0,1.0,60.0,2.0,2.0,539200.0,97.5,0.0,0.0,35000.0,0.25,26000.0,47.9,52.1,0.0,80.3,30.0,14.1,0.0,0.0,1.563,4.432,0.164,11400.0,0.398,1.207,6.8,0,0.1383333333333333,-0.5068313401992193,-0.7742461835976571,-0.05794910906666308,14.240125138933223,13.197843693177921,9.34145634983372,0.09451466284789242,0.08623198835740217,0.028981581798483206,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,MASTER,4,SINGLE,0,RENTED,0,FEMALE,0
