applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability,total_financial_obligation_ratio,disposable_income_ratio,loan_to_monthly_income,debt_per_account,unsecured_loan_percentage,income_stability_score,financial_burden_score,has_payment_delays,severe_delinquency_flag,payment_delinquency_score,spending_stability,spending_pattern_score,bounce_check_severity,payment_reliability_score,digital_txn_propensity,cash_dependency_score,account_management_score,financial_discipline_score,spend_to_income_ratio,discretionary_spend_amount,financial_stress_indicator,estimated_delinquency_6m,delinquency_trend,balance_volatility_category,balance_stability_score,credit_maturity_score,active_account_ratio,enquiry_velocity_6m,enquiry_acceleration,recent_enquiry_intensity,debt_growth_indicator,projected_total_debt,projected_dti_after_loan,rolling_risk_score_6m,credit_trend_indicator,total_past_defaults,has_past_defaults,has_writeoff,has_settlements,enquiry_rate_monthly,enquiry_rate_6m,high_enquiry_flag,credit_hungry_score,credit_score_category,credit_score_normalized,negative_events_count,credit_history_quality,delinquency_rate,bureau_default_probability,credit_mix_score,enquiry_to_account_ratio,bureau_risk_score
APP000001,2025-03-08,Male,21,Bachelor,Married,2,Rented,3,Chennai,Self-Employed,Manufacturing,912000.0,8,4,Home Loan,4659000.0,120,7.87,725,2,2,78,1,90,4,7,660600.0,49.4,0,0,58000.0,0.131,38100.0,39.2,60.8,0,71.9,31,26.9,4,0,0.724,5.109,0.173,56207.0,0.74,0.763,6.5,0,0.1861842105263158,0.8844,-0.2413,61.3,330300.0,50.6,0.4444,0.5635,1,1,0.7,0.8842,0.5397,0,0.8595,0.9688,0.269,0.6667,0.8091,0.5013,23164.8,2,1,0.9091,Low,0.8697,0.65,1.0,0.6667,1,0.5714,0.8758,5319600.0,5.8329,0.4193,Stable,1,1,0,0,0.5833,0.6667,0,0.4,Good,0.7083,0,0.7041,50.0,0.3067,0.447,3.5,0.3221
APP000002,2025-06-29,Female,23,High School,Married,3,Rented,1,Bangalore,Self-Employed,Banking/Finance,553000.0,4,2,Credit Card,147000.0,12,36.42,656,3,2,0,0,0,2,5,163400.0,60.7,0,0,98700.0,0.091,41300.0,33.1,66.9,4,88.7,29,26.3,0,1,0.295,0.266,0.518,14799.0,0.321,2.142,0.0,1,0.1309999999999999,0.3802,-0.2172,3.19,54466.67,39.3,0.4,0.3697,0,0,0.0,0.9166,0.5067,6,0.6435,0.9667,0.263,1.0,0.8324,0.8962,27629.7,1,0,0.0,Low,0.9093,0.0,0.6667,0.3333,-1,0.4,0.4736,310400.0,0.5613,0.1873,Improving,0,0,0,0,0.4167,0.3333,0,0.2,Good,0.5933,1,0.5367,0.0,0.2027,0.6035,1.6667,0.2803
APP000003,2025-01-28,Female,38,Bachelor,Married,2,Rented,0,Jaipur,Salaried,Manufacturing,613000.0,2,2,Personal Loan,1407000.0,24,12.86,748,4,2,24,1,30,4,5,1310400.0,92.5,1,0,115500.0,0.05,39300.0,30.4,69.6,0,92.9,25,12.7,1,0,2.138,2.295,0.888,66799.0,1.308,2.261,2.0,0,0.2246666666666667,1.7352,-1.0773,27.54,327600.0,7.5,0.6667,1.514,1,0,0.5,0.9524,0.4985,0,0.9645,0.9615,0.127,0.9167,0.9465,0.7693,27352.8,0,1,0.9091,Low,0.95,0.2,0.5,0.6667,3,0.8,0.5178,2717400.0,4.433,0.395,Stable,2,1,1,0,0.4167,0.6667,0,0.4,Good,0.7467,1,0.6134,25.0,0.318,0.8625,1.25,0.355
APP000004,2025-02-22,Male,23,Bachelor,Married,1,Owned,9,Mumbai,Salaried,IT/Software,243000.0,0,0,Education Loan,1064000.0,84,9.44,652,1,1,206,1,180,1,2,718400.0,78.7,0,0,13500.0,0.061,8200.0,53.6,46.4,0,78.0,46,15.7,3,0,2.956,4.379,0.527,17357.0,0.857,0.667,17.2,0,0.372,1.4484,-0.2619,52.54,718400.0,21.3,0.0,1.5976,1,1,1.0,0.9425,0.658,0,0.89,0.9787,0.157,0.75,0.8638,0.4049,3804.8,1,1,0.9091,Low,0.9391,1.0,1.0,0.1667,0,0.5,0.5969,1782400.0,7.335,0.3383,Stable,1,1,0,0,0.1667,0.1667,0,0.1,Good,0.5867,1,0.7534,100.0,0.3453,0.4935,2.0,0.2666
APP000005,2025-08-04,Male,46,Bachelor,Married,0,Owned,5,Mumbai,Freelancer,Other,251000.0,1,1,Home Loan,816000.0,300,8.86,806,3,1,41,0,0,0,1,884900.0,71.6,0,0,39600.0,0.127,14200.0,64.7,35.3,0,78.2,23,23.7,3,0,3.525,3.251,0.505,6770.0,0.324,1.893,3.4,0,0.0834999999999999,1.0288,-0.0029,39.01,294966.67,28.4,0.5,1.6587,0,0,0.0,0.8873,0.7191,0,0.891,0.9583,0.237,0.75,0.8476,0.6789,5012.6,0,0,0.0,Low,0.8737,0.3417,0.3333,0.0,-1,0.0,0.4797,1700900.0,6.7765,0.0381,Improving,0,0,0,0,0.0833,0.0,0,0.0,Excellent,0.8433,0,0.79,0.0,0.0627,0.658,0.3333,0.0943
APP000006,2025-10-17,Male,34,Other,Married,4,Mortgaged,30,Mumbai,Salaried,Banking/Finance,191000.0,1,0,Credit Card,22000.0,12,34.39,614,2,2,71,1,30,1,3,577500.0,79.6,0,0,48000.0,0.152,11000.0,44.2,55.8,0,76.7,26,6.4,0,0,3.024,0.115,0.693,2193.0,0.138,3.016,5.9,0,0.2381666666666666,0.7425,0.1709,1.38,288750.0,20.4,0.0,1.4589,1,0,0.5,0.8681,0.5698,0,0.8835,0.963,0.064,1.0,0.9138,0.6911,6138.0,0,1,0.9091,Low,0.8492,0.5917,1.0,0.1667,-1,0.3333,0.0367,599500.0,3.1387,0.3656,Stable,1,1,0,0,0.25,0.1667,0,0.1,Fair,0.5233,0,0.66,50.0,0.2873,0.598,1.5,0.2656
APP000007,2025-03-05,Male,35,Bachelor,Married,1,Rented,3,Mumbai,Salaried,Other,506000.0,2,2,Home Loan,1859000.0,120,8.1,713,3,0,8,0,0,0,0,16400.0,64.7,0,0,72200.0,0.05,25700.0,65.6,34.4,0,84.2,29,13.0,1,0,0.032,3.674,0.853,22653.0,0.537,1.712,0.7,0,0.02,0.5437,-0.1465,44.09,5466.67,35.3,0.6667,0.4298,0,0,0.0,0.9524,0.7449,0,0.921,0.9667,0.13,0.9167,0.9291,0.6095,8840.8,0,0,0.0,Low,0.95,0.0667,0.0,0.0,0,0.0,0.9913,1875400.0,3.7063,0.015,Stable,0,0,0,0,0.0,0.0,0,0.0,Good,0.6883,0,0.6575,0.0,0.1247,0.6235,0.0,0.1651
APP000008,2025-01-19,Female,32,PhD,Divorced,1,Owned,2,Jaipur,Salaried,Manufacturing,462000.0,0,0,Education Loan,996000.0,120,9.2,699,6,2,5,2,90,2,5,647500.0,72.3,0,0,126700.0,0.171,21300.0,69.6,30.4,0,96.7,37,26.7,0,0,1.402,2.156,0.187,12725.0,0.331,3.291,0.4,0,0.3002499999999999,0.6108,0.1158,25.87,107916.67,27.7,0.0,0.7162,1,1,1.1,0.854,0.7434,0,0.9835,0.9737,0.267,1.0,0.9496,0.5532,6475.2,1,1,0.4762,Low,0.8306,0.0417,0.3333,0.3333,-1,0.4,0.606,1643500.0,3.5574,0.3913,Improving,2,1,0,0,0.4167,0.3333,0,0.2,Good,0.665,0,0.6008,33.33,0.344,0.8615,0.8333,0.3318
APP000009,2025-10-10,Female,42,Master,Single,1,Mortgaged,1,Ahmedabad,Salaried,Healthcare,483000.0,0,0,Business Loan,3300000.0,84,15.32,783,2,1,40,0,0,2,3,151800.0,96.5,0,0,93700.0,0.113,36000.0,60.0,40.0,1,78.0,30,19.6,2,1,0.314,6.832,0.142,64273.0,1.597,2.328,3.3,0,0.1506785714285714,1.6597,-1.4914,81.99,75900.0,3.5,0.0,0.6473,0,0,0.0,0.8985,0.6895,3,0.74,0.9677,0.196,0.8333,0.8155,0.8944,14400.0,1,0,0.0,Low,0.8875,0.3333,0.5,0.3333,1,0.6667,0.956,3451800.0,7.1466,0.1339,Stable,0,0,0,0,0.25,0.3333,0,0.2,Excellent,0.805,1,0.7092,0.0,0.118,0.6825,1.5,0.1862
APP000010,2025-06-23,Female,42,Master,Single,3,Rented,2,Mumbai,Salaried,IT/Software,345000.0,14,3,Home Loan,1529000.0,300,7.64,680,1,1,82,1,60,2,2,539200.0,97.5,0,0,34700.0,0.25,25800.0,47.9,52.1,0,80.3,30,14.1,0,0,1.563,4.432,0.164,11439.0,0.398,1.207,6.8,0,0.1383333333333333,0.7105,-0.2954,53.18,539200.0,2.5,0.2,0.7938,1,0,0.6,0.8,0.5753,0,0.9015,0.9677,0.141,1.0,0.9006,0.8974,13441.8,1,1,0.9091,Medium,0.7551,0.6833,1.0,0.3333,2,1.0,0.7393,2068200.0,5.9948,0.415,Stable,1,1,0,0,0.1667,0.3333,0,0.2,Good,0.6333,0,0.7133,100.0,0.28,0.5875,2.0,0.266
