applicant_id,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m
APP000001,58000.0,0.131,38100.0,39.2,60.8,0,71.9,31,26.9,4,0
APP000002,98700.0,0.091,41300.0,33.1,66.9,4,88.7,29,26.3,0,1
APP000003,115500.0,0.05,39300.0,30.4,69.6,0,92.9,25,12.7,1,0
APP000004,13500.0,0.061,8200.0,53.6,46.4,0,78.0,46,15.7,3,0
APP000005,39600.0,0.127,14200.0,64.7,35.3,0,78.2,23,23.7,3,0
APP000006,48000.0,0.152,11000.0,44.2,55.8,0,76.7,26,6.4,0,0
APP000007,72200.0,0.05,25700.0,65.6,34.4,0,84.2,29,13.0,1,0
APP000008,126700.0,0.171,21300.0,69.6,30.4,0,96.7,37,26.7,0,0
APP000009,93700.0,0.113,36000.0,60.0,40.0,1,78.0,30,19.6,2,1
APP000010,34700.0,0.25,25800.0,47.9,52.1,0,80.3,30,14.1,0,0
APP000011,121200.0,0.338,29600.0,39.5,60.5,1,80.0,38,35.8,2,0
APP000012,135700.0,0.63,36000.0,69.3,30.7,1,99.4,27,29.8,2,2
APP000013,54300.0,0.405,36900.0,45.7,54.3,0,80.6,26,28.9,3,0
APP000014,129200.0,0.05,73000.0,50.8,49.2,0,86.9,21,21.7,1,2
APP000015,108400.0,0.423,15500.0,34.7,65.3,0,82.1,35,25.5,0,0
APP000016,24600.0,0.243,30200.0,46.0,54.0,1,92.8,30,8.2,1,0
APP000017,61200.0,0.302,22400.0,37.5,62.5,0,81.1,26,35.3,1,0
APP000018,71700.0,0.586,21000.0,57.0,43.0,0,86.5,33,35.8,0,0
APP000019,61200.0,0.05,54200.0,66.0,34.0,0,92.3,29,15.8,0,0
APP000020,64800.0,0.157,16700.0,67.4,32.6,0,82.2,35,19.7,0,0
APP000021,45800.0,0.226,12000.0,34.9,65.1,1,78.7,30,15.4,0,2
APP000022,60600.0,0.164,17400.0,66.8,33.2,3,73.4,19,12.3,2,1
APP000023,6000.0,0.203,6500.0,34.4,65.6,0,78.1,26,28.5,0,1
APP000024,14900.0,0.275,12400.0,51.4,48.6,0,99.5,34,27.9,3,0
APP000025,38900.0,0.138,35900.0,51.5,48.5,0,71.6,26,35.9,1,0
APP000026,28500.0,0.841,9200.0,49.8,50.2,0,76.6,26,11.3,0,0
APP000027,80400.0,0.178,22800.0,35.4,64.6,3,91.4,28,18.6,1,1
APP000028,187400.0,0.225,26800.0,69.2,30.8,0,99.3,24,30.4,2,0
APP000029,113300.0,0.083,21800.0,60.3,39.7,0,83.4,30,9.6,0,0
APP000030,55500.0,0.272,24700.0,34.3,65.7,1,94.9,37,37.5,2,0
APP000031,138300.0,0.29,21300.0,60.0,40.0,0,81.8,30,19.4,1,1
APP000032,81700.0,0.113,12700.0,51.8,48.2,0,77.1,25,27.6,1,0
APP000033,87600.0,0.188,31200.0,62.4,37.6,0,72.9,22,14.8,1,0
APP000034,51500.0,0.067,16200.0,65.2,34.8,0,95.6,31,27.5,1,0
APP000035,17800.0,0.05,7400.0,46.2,53.8,0,84.0,40,13.6,0,0
APP000036,50800.0,0.109,28900.0,66.7,33.3,2,73.2,25,30.8,0,0
APP000037,49200.0,0.468,9400.0,55.3,44.7,0,92.4,32,35.6,1,1
APP000038,64700.0,0.686,20800.0,30.5,69.5,0,88.1,31,10.2,0,0
APP000039,69300.0,0.577,14500.0,50.4,49.6,0,94.5,36,39.6,0,0
APP000040,50500.0,0.168,19000.0,41.3,58.7,0,84.6,26,16.4,0,0
APP000041,47400.0,0.627,12300.0,63.1,36.9,1,77.5,29,5.9,2,0
APP000042,25200.0,0.05,17600.0,37.4,62.6,2,80.5,23,30.0,1,0
APP000043,199400.0,0.09,50400.0,48.8,51.2,1,83.9,39,27.5,1,0
APP000044,5200.0,0.353,7100.0,40.1,59.9,4,78.9,31,18.2,0,0
APP000045,45800.0,0.058,21300.0,31.4,68.6,3,89.9,30,9.6,1,3
APP000046,116500.0,0.679,22800.0,36.6,63.4,0,80.9,24,22.1,0,1
APP000047,22200.0,0.161,13500.0,61.4,38.6,0,89.8,31,13.2,0,0
APP000048,27400.0,0.217,8300.0,56.8,43.2,0,82.5,39,37.6,1,0
APP000049,52500.0,0.249,15200.0,68.4,31.6,0,77.8,31,35.9,2,0
APP000050,25500.0,0.747,5500.0,54.4,45.6,0,95.9,28,28.7,1,0
APP000051,185000.0,0.314,35400.0,68.6,31.4,0,82.5,22,13.8,1,1
APP000052,72300.0,0.317,25900.0,53.1,46.9,0,91.5,33,24.9,3,1
APP000053,32700.0,0.983,23400.0,61.3,38.7,0,80.4,31,26.7,1,0
APP000054,39700.0,0.831,28400.0,60.5,39.5,0,72.4,30,6.6,0,0
APP000055,30600.0,0.18,14600.0,60.6,39.4,1,90.4,25,27.6,4,0
APP000056,100600.0,0.052,22000.0,58.2,41.8,0,94.8,32,8.2,0,3
APP000057,98300.0,0.056,17300.0,54.5,45.5,0,89.6,29,8.4,1,0
APP000058,72000.0,0.52,20900.0,33.8,66.2,1,78.3,27,15.6,1,1
APP000059,72400.0,1.271,24700.0,63.2,36.8,1,77.4,29,12.1,1,0
APP000060,125400.0,0.05,29000.0,55.4,44.6,0,74.2,29,36.3,1,0
APP000061,50300.0,0.059,6500.0,67.0,33.0,0,95.5,31,38.6,2,0
APP000062,138600.0,0.246,28600.0,34.2,65.8,0,96.8,23,9.7,2,1
APP000063,135100.0,0.182,125300.0,38.8,61.2,3,97.2,36,14.9,1,0
APP000064,52600.0,0.05,50100.0,60.2,39.8,0,76.3,30,16.5,1,0
APP000065,49900.0,0.389,20900.0,52.7,47.3,0,74.0,37,14.4,3,0
APP000066,17600.0,0.49,15400.0,41.3,58.7,0,88.2,29,30.4,1,0
APP000067,32600.0,0.172,44100.0,50.5,49.5,0,86.5,39,14.2,1,0
APP000068,120900.0,0.348,31300.0,42.2,57.8,0,73.4,29,15.7,0,0
