applicant_id,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts
APP000001,725,2,2,78,1,90,4,7,660600.0,49.4,0,0
APP000002,656,3,2,0,0,0,2,5,163400.0,60.7,0,0
APP000003,748,4,2,24,1,30,4,5,1310400.0,92.5,1,0
APP000004,652,1,1,206,1,180,1,2,718400.0,78.7,0,0
APP000005,806,3,1,41,0,0,0,1,884900.0,71.6,0,0
APP000006,614,2,2,71,1,30,1,3,577500.0,79.6,0,0
APP000007,713,3,0,8,0,0,0,0,16400.0,64.7,0,0
APP000008,699,6,2,5,2,90,2,5,647500.0,72.3,0,0
APP000009,783,2,1,40,0,0,2,3,151800.0,96.5,0,0
APP000010,680,1,1,82,1,60,2,2,539200.0,97.5,0,0
APP000011,715,2,2,155,3,30,3,5,443900.0,82.3,0,0
APP000012,761,3,1,30,1,90,3,5,1416100.0,50.9,0,0
APP000013,742,0,0,105,1,30,4,4,902500.0,60.5,0,0
APP000014,663,1,1,25,1,90,2,3,312300.0,87.4,0,0
APP000015,800,3,3,157,0,0,0,2,61200.0,76.3,0,0
APP000016,655,4,3,109,0,0,1,4,86400.0,93.4,0,0
APP000017,654,5,1,13,1,30,4,6,125500.0,26.1,0,0
APP000018,701,3,1,40,1,30,1,4,58800.0,8.4,0,0
APP000019,736,1,1,121,2,90,4,4,402600.0,64.6,0,1
APP000020,601,4,2,76,1,30,2,4,473600.0,46.8,0,0
APP000021,750,3,3,143,1,30,1,2,18300.0,68.0,0,0
APP000022,720,2,1,59,1,60,3,5,467500.0,12.5,1,0
APP000023,757,4,2,4,0,0,4,5,763100.0,89.1,0,1
APP000024,766,4,0,43,1,60,3,5,283500.0,44.7,0,0
APP000025,598,3,0,31,2,60,2,4,42800.0,18.6,0,0
APP000026,716,5,2,1,0,0,1,3,550200.0,74.4,0,0
APP000027,674,1,1,10,1,30,3,5,338900.0,1.2,0,0
APP000028,828,4,3,78,0,0,2,4,1139200.0,3.1,0,1
APP000029,668,4,2,45,1,30,2,3,56500.0,87.4,0,0
APP000030,614,7,2,26,0,0,0,1,129400.0,93.3,1,0
APP000031,735,0,0,156,0,0,6,10,752800.0,71.4,0,0
APP000032,857,2,2,11,0,0,1,2,129800.0,90.9,0,0
APP000033,762,4,4,13,0,0,4,8,211200.0,74.4,0,0
APP000034,756,3,2,28,0,0,2,4,529700.0,1.5,0,1
APP000035,741,5,0,64,0,0,2,3,114500.0,81.5,0,0
APP000036,604,2,1,33,0,0,3,4,467300.0,83.4,0,1
APP000037,756,2,0,155,2,60,1,3,555000.0,35.7,0,1
APP000038,568,1,1,21,5,90,1,2,71500.0,20.2,0,0
APP000039,666,2,0,12,1,60,3,3,322400.0,79.9,0,0
APP000040,614,3,3,63,0,0,0,1,433000.0,3.0,0,0
APP000041,628,3,0,232,1,120,1,3,143600.0,71.2,0,0
APP000042,698,2,2,19,0,0,0,1,33300.0,62.3,0,0
