applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate
APP000001,2025-03-08,Male,21,Bachelor,Married,2,Rented,3,Chennai,Self-Employed,Manufacturing,912000.0,8,4,Home Loan,4659000.0,120,7.87
APP000002,2025-06-29,Female,23,High School,Married,3,Rented,1,Bangalore,Self-Employed,Banking/Finance,553000.0,4,2,Credit Card,147000.0,12,36.42
APP000003,2025-01-28,Female,38,Bachelor,Married,2,Rented,0,Jaipur,Salaried,Manufacturing,613000.0,2,2,Personal Loan,1407000.0,24,12.86
APP000004,2025-02-22,Male,23,Bachelor,Married,1,Owned,9,Mumbai,Salaried,IT/Software,243000.0,0,0,Education Loan,1064000.0,84,9.44
APP000005,2025-08-04,Male,46,Bachelor,Married,0,Owned,5,Mumbai,Freelancer,Other,251000.0,1,1,Home Loan,816000.0,300,8.86
APP000006,2025-10-17,Male,34,Other,Married,4,Mortgaged,30,Mumbai,Salaried,Banking/Finance,191000.0,1,0,Credit Card,22000.0,12,34.39
APP000007,2025-03-05,Male,35,Bachelor,Married,1,Rented,3,Mumbai,Salaried,Other,506000.0,2,2,Home Loan,1859000.0,120,8.1
APP000008,2025-01-19,Female,32,PhD,Divorced,1,Owned,2,Jaipur,Salaried,Manufacturing,462000.0,0,0,Education Loan,996000.0,120,9.2
APP000009,2025-10-10,Female,42,Master,Single,1,Mortgaged,1,Ahmedabad,Salaried,Healthcare,483000.0,0,0,Business Loan,3300000.0,84,15.32
APP000010,2025-06-23,Female,42,Master,Single,3,Rented,2,Mumbai,Salaried,IT/Software,345000.0,14,3,Home Loan,1529000.0,300,7.64
APP000011,2025-02-10,Male,38,Bachelor,Single,2,Owned,1,Kolkata,Salaried,IT/Software,516000.0,13,10,Auto Loan,1192000.0,36,9.44
APP000012,2025-09-11,Female,40,Bachelor,Divorced,2,Owned,23,Pune,Salaried,Manufacturing,483000.0,7,7,Auto Loan,1901000.0,36,9.4
APP000013,2025-11-11,Female,32,Master,Married,2,Rented,1,Bangalore,Business Owner,Banking/Finance,528000.0,7,1,Business Loan,1856000.0,36,12.47
APP000014,2025-09-29,Male,40,PhD,Divorced,3,Rented,0,Mumbai,Self-Employed,IT/Software,1175000.0,0,0,Education Loan,2041000.0,60,8.6
APP000015,2025-05-18,Male,31,Bachelor,Married,1,Mortgaged,0,Hyderabad,Salaried,IT/Software,405000.0,0,0,Home Loan,3035000.0,240,7.87
