applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability
APP000001,2025-03-08,Male,21,Bachelor,Married,2,Rented,3,Chennai,Self-Employed,Manufacturing,912000.0,8,4,Home Loan,4659000.0,120,7.87,725,2,2,78,1,90,4,7,660600.0,49.4,0,0,58000.0,0.131,38100.0,39.2,60.8,0,71.9,31,26.9,4,0,0.724,5.109,0.173,56207.0,0.74,0.763,6.5,0,0.1861842105263158
APP000002,2025-06-29,Female,23,High School,Married,3,Rented,1,Bangalore,Self-Employed,Banking/Finance,553000.0,4,2,Credit Card,147000.0,12,36.42,656,3,2,0,0,0,2,5,163400.0,60.7,0,0,98700.0,0.091,41300.0,33.1,66.9,4,88.7,29,26.3,0,1,0.295,0.266,0.518,14799.0,0.321,2.142,0.0,1,0.13099999999999998
APP000003,2025-01-28,Female,38,Bachelor,Married,2,Rented,0,Jaipur,Salaried,Manufacturing,613000.0,2,2,Personal Loan,1407000.0,24,12.86,748,4,2,24,1,30,4,5,1310400.0,92.5,1,0,115500.0,0.05,39300.0,30.4,69.6,0,92.9,25,12.7,1,0,2.138,2.295,0.888,66799.0,1.308,2.261,2.0,0,0.2246666666666667
APP000004,2025-02-22,Male,23,Bachelor,Married,1,Owned,9,Mumbai,Salaried,IT/Software,243000.0,0,0,Education Loan,1064000.0,84,9.44,652,1,1,206,1,180,1,2,718400.0,78.7,0,0,13500.0,0.061,8200.0,53.6,46.4,0,78.0,46,15.7,3,0,2.956,4.379,0.527,17357.0,0.857,0.667,17.2,0,0.37200000000000005
APP000005,2025-08-04,Male,46,Bachelor,Married,0,Owned,5,Mumbai,Freelancer,Other,251000.0,1,1,Home Loan,816000.0,300,8.86,806,3,1,41,0,0,0,1,884900.0,71.6,0,0,39600.0,0.127,14200.0,64.7,35.3,0,78.2,23,23.7,3,0,3.525,3.251,0.505,6770.0,0.324,1.893,3.4,0,0.08349999999999999
APP000006,2025-10-17,Male,34,Other,Married,4,Mortgaged,30,Mumbai,Salaried,Banking/Finance,191000.0,1,0,Credit Card,22000.0,12,34.39,614,2,2,71,1,30,1,3,577500.0,79.6,0,0,48000.0,0.152,11000.0,44.2,55.8,0,76.7,26,6.4,0,0,3.024,0.115,0.693,2193.0,0.138,3.016,5.9,0,0.23816666666666664
APP000007,2025-03-05,Male,35,Bachelor,Married,1,Rented,3,Mumbai,Salaried,Other,506000.0,2,2,Home Loan,1859000.0,120,8.1,713,3,0,8,0,0,0,0,16400.0,64.7,0,0,72200.0,0.05,25700.0,65.6,34.4,0,84.2,29,13.0,1,0,0.032,3.674,0.853,22653.0,0.537,1.712,0.7,0,0.02
APP000008,2025-01-19,Female,32,PhD,Divorced,1,Owned,2,Jaipur,Salaried,Manufacturing,462000.0,0,0,Education Loan,996000.0,120,9.2,699,6,2,5,2,90,2,5,647500.0,72.3,0,0,126700.0,0.171,21300.0,69.6,30.4,0,96.7,37,26.7,0,0,1.402,2.156,0.187,12725.0,0.331,3.291,0.4,0,0.30024999999999996
APP000009,2025-10-10,Female,42,Master,Single,1,Mortgaged,1,Ahmedabad,Salaried,Healthcare,483000.0,0,0,Business Loan,3300000.0,84,15.32,783,2,1,40,0,0,2,3,151800.0,96.5,0,0,93700.0,0.113,36000.0,60.0,40.0,1,78.0,30,19.6,2,1,0.314,6.832,0.142,64273.0,1.597,2.328,3.3,0,0.15067857142857144
APP000010,2025-06-23,Female,42,Master,Single,3,Rented,2,Mumbai,Salaried,IT/Software,345000.0,14,3,Home Loan,1529000.0,300,7.64,680,1,1,82,1,60,2,2,539200.0,97.5,0,0,34700.0,0.25,25800.0,47.9,52.1,0,80.3,30,14.1,0,0,1.563,4.432,0.164,11439.0,0.398,1.207,6.8,0,0.13833333333333334
APP000011,2025-02-10,Male,38,Bachelor,Single,2,Owned,1,Kolkata,Salaried,IT/Software,516000.0,13,10,Auto Loan,1192000.0,36,9.44,715,2,2,155,3,30,3,5,443900.0,82.3,0,0,121200.0,0.338,29600.0,39.5,60.5,1,80.0,38,35.8,2,0,0.86,2.31,0.355,38150.0,0.887,2.819,12.9,1,0.23894379844961236
APP000012,2025-09-11,Female,40,Bachelor,Divorced,2,Owned,23,Pune,Salaried,Manufacturing,483000.0,7,7,Auto Loan,1901000.0,36,9.4,761,3,1,30,1,90,3,5,1416100.0,50.9,0,0,135700.0,0.63,36000.0,69.3,30.7,1,99.4,27,29.8,2,2,2.932,3.936,0.182,60806.0,1.511,3.371,2.5,0,0.31125
